,med_salary,formatted_experience_level
1385,5600,Mid-Senior level
1386,8333,
1387,2560,
1388,6375,Mid-Senior level
1389,7360,Mid-Senior level
1390,8933,Entry level
1391,7200,Internship
1392,7200,Internship
1393,18333,Director
1394,4480,Mid-Senior level
1395,3520,Entry level
1396,3750,Associate
1397,7525,Mid-Senior level
1398,10240,Associate
1399,8750,
1400,6720,Mid-Senior level
1401,7916,
1402,11270,
1403,7083,
1404,3200,Entry level
1405,18666,Director
1406,12708,Associate
1407,4000,
1408,9166,
1409,8420,
1410,3400,
1411,11120,Mid-Senior level
1412,16745,Director
1413,13675,
1414,2560,
1415,9791,Mid-Senior level
1416,9920,
1417,7273,
1418,7200,Mid-Senior level
1419,4791,Mid-Senior level
1420,11941,Mid-Senior level
1421,6041,
1422,13750,Entry level
1423,6400,Mid-Senior level
1424,10416,Mid-Senior level
1425,14166,Entry level
1426,4960,Mid-Senior level
1427,18541,Executive
1428,6080,
1429,5833,Entry level
1430,6666,
1431,5416,
1432,4960,Mid-Senior level
1433,3360,Entry level
1434,3250,Mid-Senior level
1435,5833,Entry level
1436,3666,Mid-Senior level
1437,3840,Associate
1438,3200,Associate
1439,10833,Mid-Senior level
1440,8333,
1441,4800,Associate
1442,5000,Mid-Senior level
1443,6666,Associate
1444,7680,Mid-Senior level
1445,5083,
1446,4480,Associate
1447,6080,Mid-Senior level
1448,8000,Associate
1449,4166,
1450,4791,
1451,4791,
1452,4791,
1453,4791,
1454,4250,Associate
1455,4791,
1456,6666,
1457,11040,Mid-Senior level
1458,9791,
1459,2880,Entry level
1460,13120,Mid-Senior level
1461,12708,Mid-Senior level
1462,7500,Associate
1463,16287,Associate
1464,8958,Mid-Senior level
1465,10208,Associate
1466,5833,Mid-Senior level
1467,7200,Internship
1468,7200,Internship
1469,5833,Associate
1470,7520,Mid-Senior level
1471,9191,Entry level
1472,4166,
1473,5416,
1474,5267,Mid-Senior level
1475,12045,
1476,6080,Mid-Senior level
1477,9375,Mid-Senior level
1478,3200,Mid-Senior level
1479,14841,Mid-Senior level
1480,6725,Mid-Senior level
1481,7520,Mid-Senior level
1482,4640,Associate
1483,7273,
1484,9166,
1485,7520,Associate
1486,8320,Mid-Senior level
1487,4791,
1488,10291,Mid-Senior level
1489,6250,
1490,8000,Mid-Senior level
1491,3360,Associate
1492,12500,
1493,8541,Associate
1494,12083,Associate
1495,22574,
1496,10416,Associate
1497,10416,Mid-Senior level
1498,8333,
1499,9791,
1500,3680,Entry level
1501,13958,Mid-Senior level
1502,10000,Associate
1503,14212,Mid-Senior level
1504,5440,Associate
1505,3360,Associate
1506,3040,
1507,5000,
1508,5120,Mid-Senior level
1509,4800,Mid-Senior level
1510,7916,Mid-Senior level
1511,6458,Associate
1512,6083,Associate
1513,9583,Mid-Senior level
1514,2880,
1515,4960,Mid-Senior level
1516,4791,
1517,6875,Associate
1518,4791,
1519,4791,
1520,5608,Entry level
1521,7500,
1522,2080,Entry level
1523,10416,Mid-Senior level
1524,2880,Entry level
1525,4320,Associate
1526,3458,
1527,15208,
1528,6375,Mid-Senior level
1529,16287,Associate
1530,12800,Executive
1531,3040,Entry level
1532,7241,Entry level
1533,7,
1534,2720,Entry level
1535,7200,Mid-Senior level
1536,3680,Mid-Senior level
1537,9600,Mid-Senior level
1538,5920,Entry level
1539,6725,Mid-Senior level
1540,7916,Mid-Senior level
1541,11012,
1542,19520,Director
1543,8945,Mid-Senior level
1544,8420,Mid-Senior level
1545,2720,
1546,8854,Mid-Senior level
1547,9375,Mid-Senior level
1548,6500,Associate
1549,6880,Associate
1550,9583,Entry level
1551,9166,
1552,4583,Associate
1553,21875,
1554,3040,Associate
1555,7083,Associate
1556,9166,Entry level
1557,8125,Mid-Senior level
1558,13125,Director
1559,4583,
1560,3360,Entry level
1561,3200,Entry level
1562,11200,Mid-Senior level
1563,13125,Mid-Senior level
1564,3200,Entry level
1565,4640,
1566,6240,Associate
1567,12916,Mid-Senior level
1568,4800,Associate
1569,11840,
1570,3200,
1571,12500,
1572,5280,Entry level
1573,6250,
1574,4791,
1575,4791,
1576,4791,
1577,4791,
1578,4791,
1579,4791,
1580,10080,Mid-Senior level
1581,4375,
1582,6558,Associate
1583,6166,
1584,4480,Associate
1585,3040,Associate
1586,18541,Mid-Senior level
1587,14583,Mid-Senior level
1588,5500,Mid-Senior level
1589,9166,Mid-Senior level
1590,9583,Mid-Senior level
1591,7200,Internship
1592,7200,Internship
1593,3520,Entry level
1594,3750,Associate
1595,3680,
1596,11666,Entry level
1597,5000,
1598,9375,Mid-Senior level
1599,3520,
1600,9166,Mid-Senior level
1601,19583,Director
1602,12708,
1603,14108,
1604,6725,Mid-Senior level
1605,14108,
1606,3520,Associate
1607,7083,
1608,2560,
1609,11250,Mid-Senior level
1610,4640,
1611,11941,Mid-Senior level
1612,11941,Mid-Senior level
1613,4583,Associate
1614,4958,Entry level
1615,11666,Director
1616,6875,
1617,4375,Associate
1618,6666,Associate
1619,6666,
1620,8750,
1621,5916,Associate
1622,6080,Associate
1623,15520,Mid-Senior level
1624,7200,
1625,4000,Mid-Senior level
1626,5113,Associate
1627,8000,Mid-Senior level
1628,9500,
1629,13958,Mid-Senior level
1630,8480,Associate
1631,4833,
1632,8083,
1633,9583,
1634,6666,Mid-Senior level
1635,7500,Associate
1636,7520,
1637,10833,Mid-Senior level
1638,3200,Entry level
1639,5440,Associate
1640,11666,Entry level
1641,4320,Mid-Senior level
1642,2880,
1643,2720,
1644,7083,Mid-Senior level
1645,4200,
1646,8441,
1647,6250,Mid-Senior level
1648,2720,
1649,2720,
1650,7291,Mid-Senior level
1651,4800,Associate
1652,9162,
1653,6213,
1654,6083,
1655,3958,Entry level
1656,6041,Director
1657,11041,
1658,12500,Director
1659,10720,Associate
1660,5120,
1661,8333,
1662,4791,
1663,9120,Mid-Senior level
1664,9120,Mid-Senior level
1665,7291,Associate
1666,11840,Mid-Senior level
1667,3680,Entry level
1668,13958,Mid-Senior level
1669,5600,
1670,5833,Mid-Senior level
1671,5600,Associate
1672,7916,
1673,10833,Mid-Senior level
1674,9760,
1675,6250,
1676,6880,Entry level
1677,9375,
1678,12045,
1679,10,Mid-Senior level
1680,4000,Associate
1681,10416,
1682,8046,Mid-Senior level
1683,4200,
1684,4675,Mid-Senior level
1685,7208,Mid-Senior level
1686,6240,Associate
1687,5120,
1688,6458,Associate
1689,6250,Mid-Senior level
1690,3520,Associate
1691,13833,Mid-Senior level
1692,15625,Mid-Senior level
1693,7360,
1694,6041,Associate
1695,7500,Mid-Senior level
1696,3680,Associate
1697,6720,Mid-Senior level
1698,4166,Entry level
1699,6240,Associate
1700,9120,Mid-Senior level
1701,20833,Mid-Senior level
1702,5208,Mid-Senior level
1703,8541,Director
1704,15000,
1705,8541,Mid-Senior level
1706,5833,Mid-Senior level
1707,9791,
1708,8333,Associate
1709,10416,
1710,8000,
1711,4960,
1712,3040,
1713,8320,
1714,6666,Associate
1715,11666,Director
1716,2880,
1717,6250,Mid-Senior level
1718,7916,Associate
1719,11250,
1720,6041,
1721,4480,Mid-Senior level
1722,19425,Director
1723,11562,Mid-Senior level
1724,13612,Mid-Senior level
1725,11404,Mid-Senior level
1726,6725,Mid-Senior level
1727,8160,Mid-Senior level
1728,7520,Mid-Senior level
1729,3360,Entry level
1730,11041,Director
1731,10416,Mid-Senior level
1732,4960,Mid-Senior level
1733,3520,
1734,14583,Director
1735,12708,
1736,13750,
1737,4640,
1738,10625,Executive
1739,4640,Entry level
1740,4166,
1741,15416,Director
1742,2880,Entry level
1743,8125,Mid-Senior level
1744,5208,
1745,10000,
1746,8901,Associate
1747,6400,
1748,8250,Mid-Senior level
1749,11200,Mid-Senior level
1750,13958,Mid-Senior level
1751,6008,Mid-Senior level
1752,18541,Associate
1753,5416,Mid-Senior level
1754,5000,Mid-Senior level
1755,17500,Associate
1756,5416,
1757,19791,Mid-Senior level
1758,10000,Mid-Senior level
1759,9760,Mid-Senior level
1760,7040,Mid-Senior level
1761,5416,Entry level
1762,3680,
1763,3770,Mid-Senior level
1764,9937,Associate
1765,9120,Associate
1766,6666,
1767,6250,
1768,7500,Associate
1769,6720,Mid-Senior level
1770,12291,Mid-Senior level
1771,6,Associate
1772,18750,
1773,11666,Mid-Senior level
1774,3840,Associate
1775,14166,Mid-Senior level
1776,13541,Mid-Senior level
1777,8541,Mid-Senior level
1778,12083,Associate
1779,3520,
1780,11458,Mid-Senior level
1781,2720,
1782,5916,
1783,6916,
1784,8875,Mid-Senior level
1785,5920,Mid-Senior level
1786,10000,Mid-Senior level
1787,8750,Associate
1788,3520,
1789,10400,Mid-Senior level
1790,2240,
1791,7291,Entry level
1792,6500,Entry level
1793,4800,Entry level
1794,5291,Entry level
1795,6625,Mid-Senior level
1796,7595,Entry level
1797,3680,Mid-Senior level
1798,5875,Mid-Senior level
1799,9120,Entry level
1800,6043,Mid-Senior level
1801,8320,Mid-Senior level
1802,7520,Executive
1803,2720,
1804,3040,
1805,2880,
1806,2880,
1807,2720,
1808,3040,
1809,4000,Entry level
1810,5280,
1811,5280,
1812,3680,
1813,3360,Entry level
1814,5848,Mid-Senior level
1815,5600,Mid-Senior level
1816,4320,Mid-Senior level
1817,13583,Mid-Senior level
1818,3418,Entry level
1819,6279,Entry level
1820,2560,Entry level
1821,6228,Entry level
1822,3360,Entry level
1823,5904,
1824,2560,
1825,9075,Entry level
1826,8541,
1827,13666,
1828,3200,Entry level
1829,30208,Mid-Senior level
1830,4,Mid-Senior level
1831,3680,Mid-Senior level
1832,2240,
1833,18166,
1834,3840,Entry level
1835,5416,Mid-Senior level
1836,3750,Entry level
1837,6560,Mid-Senior level
1838,11680,Mid-Senior level
1839,13583,Mid-Senior level
1840,3360,Entry level
1841,3840,
1842,3360,
1843,3360,Entry level
1844,2400,
1845,2880,
1846,2880,
1847,2560,
1848,6666,
1849,3200,
1850,10416,Mid-Senior level
1851,5280,
1852,5416,Mid-Senior level
1853,17691,
1854,10400,Mid-Senior level
1855,3360,Entry level
1856,15833,Director
1857,13750,Mid-Senior level
1858,3680,Entry level
1859,2560,Entry level
1860,5600,Mid-Senior level
1861,18708,Mid-Senior level
1862,18708,Mid-Senior level
1863,5713,Mid-Senior level
1864,10880,Mid-Senior level
1865,2080,Entry level
1866,2880,
1867,14520,Mid-Senior level
1868,4504,
1869,5280,
1870,5280,
1871,10529,
1872,2240,
1873,10208,Director
1874,11750,Director
1875,12552,Mid-Senior level
1876,10612,Mid-Senior level
1877,2240,
1878,2240,
1879,17600,Mid-Senior level
1880,13750,Director
1881,6958,Mid-Senior level
1882,6666,Entry level
1883,15542,Director
1884,3726,Entry level
1885,1600,
1886,4160,Mid-Senior level
1887,10416,Mid-Senior level
1888,5637,
1889,11250,
1890,4000,Entry level
1891,18708,Mid-Senior level
1892,7882,Mid-Senior level
1893,13583,Mid-Senior level
1894,13583,Mid-Senior level
1895,6212,Mid-Senior level
1896,7083,Mid-Senior level
1897,5833,
1898,6458,
1899,3520,
1900,5208,
1901,13958,Mid-Senior level
1902,9075,Entry level
1903,4320,
1904,2720,
1905,2560,
1906,2560,
1907,2400,
1908,2240,Entry level
1909,5550,
1910,7820,Entry level
1911,2240,
1912,10875,
1913,5760,
1914,18425,
1915,2240,
1916,6560,Mid-Senior level
1917,4640,Entry level
1918,7666,
1919,7291,Mid-Senior level
1920,10400,
1921,2880,Entry level
1922,13750,Associate
1923,6,Mid-Senior level
1924,5000,Associate
1925,3200,Entry level
1926,3200,Entry level
1927,2240,
1928,3200,Entry level
1929,7520,Mid-Senior level
1930,11700,Mid-Senior level
1931,10416,
1932,11095,
1933,8333,Associate
1934,5603,Mid-Senior level
1935,3726,Entry level
1936,6458,Entry level
1937,8000,
1938,5120,
1939,11875,Mid-Senior level
1940,3813,Mid-Senior level
1941,7291,Mid-Senior level
1942,10720,Associate
1943,3360,Entry level
1944,5166,Mid-Senior level
1945,6666,Associate
1946,6458,Mid-Senior level
1947,3750,Entry level
1948,17888,Mid-Senior level
1949,4640,Entry level
1950,5280,Mid-Senior level
1951,13583,Mid-Senior level
1952,2880,Entry level
1953,4320,Mid-Senior level
1954,10612,Director
1955,3680,Entry level
1956,2400,
1957,3040,
1958,6250,Mid-Senior level
1959,2400,
1960,3360,
1961,3360,Entry level
1962,10400,Mid-Senior level
1963,8333,Executive
1964,7695,
1965,4850,
1966,5280,
1967,10720,Mid-Senior level
1968,10416,Mid-Senior level
1969,14080,Mid-Senior level
1970,7200,Mid-Senior level
1971,2240,
1972,5013,Mid-Senior level
1973,10023,Director
1974,4000,Associate
1975,3200,Mid-Senior level
1976,2880,Associate
1977,2240,
1978,11809,Director
1979,3726,Entry level
1980,3040,Entry level
1981,3813,Mid-Senior level
1982,3813,Mid-Senior level
1983,4625,Entry level
1984,3813,Mid-Senior level
1985,7916,Mid-Senior level
1986,8640,Associate
1987,15125,Mid-Senior level
1988,5833,Associate
1989,4375,Associate
1990,7500,Associate
1991,6250,Mid-Senior level
1992,2080,
1993,2080,
1994,2080,
1995,2080,
1996,2080,
1997,7200,
1998,8750,Mid-Senior level
1999,6666,Associate
2000,3040,Entry level
2001,13583,Mid-Senior level
2002,6541,Entry level
2003,9458,Entry level
2004,5440,Entry level
2005,2400,
2006,2720,
2007,2560,
2008,2880,
2009,2400,
2010,6250,Mid-Senior level
2011,10570,Mid-Senior level
2012,12640,Mid-Senior level
2013,12358,
2014,4504,
2015,10529,
2016,12358,
2017,2240,
2018,4583,Entry level
2019,8375,Mid-Senior level
2020,5250,Mid-Senior level
2021,4583,Entry level
2022,9583,Mid-Senior level
2023,6880,Mid-Senior level
2024,7500,Mid-Senior level
2025,7840,Mid-Senior level
2026,2880,Entry level
2027,9106,Entry level
2028,5120,Entry level
2029,4160,Entry level
2030,3200,
2031,3200,Entry level
2032,24425,
2033,2240,
2034,2720,Entry level
2035,13096,Director
2036,3520,Entry level
2037,9358,Mid-Senior level
2038,2880,Entry level
2039,6212,Entry level
2040,5833,Entry level
2041,5958,Associate
2042,9375,Mid-Senior level
2043,3360,Entry level
2044,3040,Entry level
2045,3520,Associate
2046,3813,Mid-Senior level
2047,15125,Mid-Senior level
2048,11666,Director
2049,10139,Mid-Senior level
2050,3333,Entry level
2051,2080,
2052,2080,
2053,2080,
2054,8640,Associate
2055,2080,
2056,2080,
2057,30208,Mid-Senior level
2058,3200,Mid-Senior level
2059,11041,Mid-Senior level
2060,4125,Entry level
2061,16041,Entry level
2062,11250,Mid-Senior level
2063,9791,
2064,4125,Entry level
2065,4125,Entry level
2066,4125,Entry level
2067,4125,Entry level
2068,4125,Entry level
2069,4125,Entry level
2070,4125,Entry level
2071,2880,Entry level
2072,5120,Entry level
2073,5625,
2074,8333,
2075,14520,Entry level
2076,7666,
2077,2720,
2078,3200,Mid-Senior level
2079,2400,
2080,2400,
2081,2400,
2082,2400,
2083,5280,
2084,9933,
2085,12358,
2086,3040,Entry level
2087,3360,Entry level
2088,9075,Mid-Senior level
2089,4480,Associate
2090,6880,
2091,13750,Director
2092,2240,
2093,4160,Entry level
2094,9133,Mid-Senior level
2095,13508,Mid-Senior level
2096,6541,Entry level
2097,13841,
2098,3200,Entry level
2099,2240,
2100,3680,Entry level
2101,3520,Entry level
2102,10833,
2103,30208,Mid-Senior level
2104,2880,Entry level
2105,3040,Entry level
2106,7000,Associate
2107,9375,Director
2108,8320,Mid-Senior level
2109,13333,
2110,8333,Entry level
2111,3875,Associate
2112,12525,Director
2113,2,
2114,2080,
2115,2080,
2116,2080,
2117,2080,
2118,2080,
2119,2080,
2120,2080,
2121,7000,
2122,30208,Mid-Senior level
2123,8333,Entry level
2124,14583,Associate
2125,4125,Entry level
2126,4125,Entry level
2127,4125,Entry level
2128,14375,Mid-Senior level
2129,14708,Mid-Senior level
2130,4125,Entry level
2131,4125,Entry level
2132,4125,Entry level
2133,4125,Entry level
2134,4125,Entry level
2135,6666,Mid-Senior level
2136,4480,Associate
2137,6791,Mid-Senior level
2138,10416,Mid-Senior level
2139,4125,Entry level
2140,8333,Mid-Senior level
2141,4166,Mid-Senior level
2142,7708,Mid-Senior level
2143,2240,
2144,8333,
2145,4800,
2146,12632,Entry level
2147,30208,Mid-Senior level
2148,13541,Mid-Senior level
2149,2240,
2150,5920,
2151,14000,Director
2152,2240,
2153,30208,Mid-Senior level
2154,3360,Entry level
2155,7500,Associate
2156,3360,
2157,30208,Mid-Senior level
2158,22041,Director
2159,3813,Mid-Senior level
2160,4166,
2161,12916,Associate
2162,6041,Mid-Senior level
2163,8458,Mid-Senior level
2164,8000,
2165,3958,
2166,7291,Director
2167,2080,
2168,2080,
2169,2080,
2170,4166,
2171,14321,Associate
2172,8000,Associate
2173,14708,Mid-Senior level
2174,4125,Entry level
2175,4160,Mid-Senior level
2176,4533,Mid-Senior level
2177,4125,Entry level
2178,4125,Entry level
2179,6166,Mid-Senior level
2180,2240,
2181,7916,
2182,3520,Entry level
2183,6666,Entry level
2184,6720,Mid-Senior level
2185,30208,Mid-Senior level
2186,5833,Entry level
2187,5416,Associate
2188,3040,Entry level
2189,14583,Director
2190,15125,Mid-Senior level
2191,5625,Associate
2192,7083,Mid-Senior level
2193,10625,Mid-Senior level
2194,2080,
2195,2080,
2196,5833,Associate
2197,5600,Mid-Senior level
2198,11200,
2199,7500,Mid-Senior level
2200,4125,Entry level
2201,4125,Entry level
2202,4166,
2203,4125,Entry level
2204,4125,Entry level
2205,4125,Entry level
2206,4125,Entry level
2207,5666,Mid-Senior level
2208,4125,Entry level
2209,6166,Mid-Senior level
2210,9280,
2211,3726,Entry level
2212,3040,Associate
2213,6080,Entry level
2214,8333,Mid-Senior level
2215,15125,Mid-Senior level
2216,30208,Mid-Senior level
2217,5637,
2218,13333,Mid-Senior level
2219,2880,
2220,3208,Entry level
2221,2080,
2222,2080,
2223,2080,
2224,2080,
2225,2080,
2226,2080,
2227,2080,
2228,13333,
2229,7000,
2230,7500,Mid-Senior level
2231,9791,
2232,4125,Entry level
2233,4125,Entry level
2234,4125,Entry level
2235,4125,Entry level
2236,5666,Mid-Senior level
2237,4125,Entry level
2238,8333,
2239,12000,Mid-Senior level
2240,4125,Entry level
2241,3958,Entry level
2242,3000,
2243,2880,Mid-Senior level
2244,11666,Mid-Senior level
2245,12500,Mid-Senior level
2246,2080,
2247,3958,
2248,3750,Associate
2249,4125,Entry level
2250,8333,Entry level
2251,16666,Associate
2252,16041,Entry level
2253,16041,Entry level
2254,15875,Mid-Senior level
2255,4125,Entry level
2256,4125,Entry level
2257,6720,Entry level
2258,2080,
2259,2080,
2260,2080,
2261,2080,
2262,4800,
2263,2080,
2264,2080,
2265,2080,
2266,2080,
2267,3200,Mid-Senior level
2268,7000,
2269,4320,
2270,4125,Entry level
2271,4125,Entry level
2272,4125,Entry level
2273,4125,Entry level
2274,11250,Mid-Senior level
2275,4125,Entry level
2276,4125,Entry level
2277,5000,Entry level
2278,15875,Mid-Senior level
2279,9791,
2280,11250,Mid-Senior level
2281,16041,Entry level
2282,4125,Entry level
2283,4125,Entry level
2284,9375,Mid-Senior level
2285,3750,
2286,10000,
2287,14708,Mid-Senior level
2288,14375,Mid-Senior level
2289,4125,Entry level
2290,4125,Entry level
2291,9791,
2292,11250,Mid-Senior level
2293,4125,Entry level
2294,9120,Mid-Senior level
2295,16041,Entry level
2296,15875,Mid-Senior level
2297,4125,Entry level
2298,4125,Entry level
2299,4125,Entry level
2300,7000,
2301,4125,Entry level
2302,4125,Entry level
2303,4125,Entry level
2304,13233,Mid-Senior level
2305,11025,
2306,11562,Mid-Senior level
2307,12375,
2308,16783,
2309,4791,Entry level
2310,3520,
2311,1920,Entry level
2312,3840,Mid-Senior level
2313,8000,Associate
2314,7708,
2315,11435,
2316,16500,Mid-Senior level
2317,6666,
2318,9179,Mid-Senior level
2319,6725,Mid-Senior level
2320,2560,Mid-Senior level
2321,2880,Entry level
2322,9991,Director
2323,12500,Mid-Senior level
2324,4291,Associate
2325,6666,Mid-Senior level
2326,10708,Associate
2327,5853,Mid-Senior level
2328,5440,Associate
2329,4160,
2330,14634,Director
2331,3916,
2332,4000,Associate
2333,14520,Mid-Senior level
2334,13833,Executive
2335,8333,
2336,11020,Executive
2337,13920,Mid-Senior level
2338,10833,
2339,9083,
2340,11770,
2341,4000,
2342,20958,
2343,6250,
2344,11666,Mid-Senior level
2345,9920,Mid-Senior level
2346,6041,
2347,3520,
2348,3200,Entry level
2349,12160,Mid-Senior level
2350,2880,Entry level
2351,3520,
2352,2654,
2353,6875,Mid-Senior level
2354,10000,Mid-Senior level
2355,5416,
2356,14108,Mid-Senior level
2357,24479,Director
2358,6725,Mid-Senior level
2359,11025,
2360,16783,Director
2361,14600,Mid-Senior level
2362,14512,
2363,7360,
2364,7520,Mid-Senior level
2365,5686,Associate
2366,2560,
2367,4583,
2368,3520,
2369,5120,Mid-Senior level
2370,5833,Mid-Senior level
2371,8750,Mid-Senior level
2372,5833,
2373,11875,Mid-Senior level
2374,11770,
2375,3840,
2376,9120,Mid-Senior level
2377,4166,
2378,9120,Mid-Senior level
2379,2720,Associate
2380,13750,
2381,2720,Associate
2382,3333,
2383,12377,Mid-Senior level
2384,9791,Mid-Senior level
2385,2560,
2386,8333,
2387,5600,Internship
2388,11508,
2389,11650,Mid-Senior level
2390,6041,Mid-Senior level
2391,3333,
2392,5800,Associate
2393,6041,
2394,4800,Entry level
2395,4320,
2396,3000,
2397,17708,Associate
2398,11625,Executive
2399,8125,Director
2400,10833,
2401,2240,
2402,18750,Executive
2403,4583,
2404,8333,Associate
2405,11750,Mid-Senior level
2406,3200,Associate
2407,19129,Executive
2408,11200,Mid-Senior level
2409,10208,
2410,12916,Mid-Senior level
2411,14720,
2412,7520,Mid-Senior level
2413,4000,Associate
2414,14166,
2415,4166,
2416,8320,Mid-Senior level
2417,7020,Mid-Senior level
2418,16320,
2419,15079,Mid-Senior level
2420,6445,Mid-Senior level
2421,12375,
2422,5920,Internship
2423,2720,
2424,10400,Mid-Senior level
2425,4480,Entry level
2426,9791,Mid-Senior level
2427,11,Director
2428,4000,Associate
2429,7708,Mid-Senior level
2430,2560,
2431,4375,
2432,4320,
2433,4,Mid-Senior level
2434,16666,Associate
2435,14583,
2436,4480,Executive
2437,3360,
2438,6666,
2439,13600,Mid-Senior level
2440,4296,
2441,3520,
2442,7474,Mid-Senior level
2443,5833,
2444,5600,
2445,13333,Mid-Senior level
2446,3360,
2447,3840,Entry level
2448,4583,
2449,12500,
2450,3840,
2451,9791,Director
2452,6916,Mid-Senior level
2453,31250,Mid-Senior level
2454,6277,
2455,10208,
2456,6041,Entry level
2457,13620,Mid-Senior level
2458,15983,Mid-Senior level
2459,13195,Mid-Senior level
2460,9179,Mid-Senior level
2461,3040,Mid-Senior level
2462,2720,
2463,3958,Mid-Senior level
2464,8333,Mid-Senior level
2465,4160,
2466,6875,Mid-Senior level
2467,4000,Associate
2468,11458,
2469,4528,Mid-Senior level
2470,5685,Mid-Senior level
2471,23958,
2472,6250,Entry level
2473,4750,Associate
2474,2400,
2475,3833,
2476,6666,
2477,10416,Executive
2478,3840,
2479,3840,Associate
2480,3360,Entry level
2481,3360,
2482,8270,Mid-Senior level
2483,10786,
2484,11250,Mid-Senior level
2485,7916,Mid-Senior level
2486,10691,Mid-Senior level
2487,3200,
2488,8458,
2489,9375,
2490,12500,
2491,12083,Mid-Senior level
2492,4000,Associate
2493,8000,
2494,12,
2495,8333,
2496,4800,Mid-Senior level
2497,9166,Mid-Senior level
2498,4000,Associate
2499,7520,Associate
2500,3200,Associate
2501,8750,Mid-Senior level
2502,3040,
2503,3040,Associate
2504,6250,Entry level
2505,6880,Mid-Senior level
2506,15366,Mid-Senior level
2507,12479,
2508,2080,Entry level
2509,3520,
2510,8041,Entry level
2511,6333,
2512,3680,Mid-Senior level
2513,12083,Mid-Senior level
2514,12000,Mid-Senior level
2515,4166,
2516,3200,
2517,11040,
2518,8125,Mid-Senior level
2519,13833,Executive
2520,4333,Mid-Senior level
2521,5420,Associate
2522,2560,Entry level
2523,12800,Mid-Senior level
2524,3680,Entry level
2525,4320,
2526,8000,Mid-Senior level
2527,2880,Entry level
2528,4960,Associate
2529,12800,
2530,3520,Mid-Senior level
2531,3360,Entry level
2532,3360,Entry level
2533,2560,Entry level
2534,4480,Associate
2535,14583,Associate
2536,10750,Associate
2537,12377,Mid-Senior level
2538,15000,Mid-Senior level
2539,8,
2540,3200,Entry level
2541,6250,Entry level
2542,3200,
2543,3200,Entry level
2544,12242,Director
2545,2720,
2546,7083,Mid-Senior level
2547,10125,Mid-Senior level
2548,10416,Mid-Senior level
2549,7083,Entry level
2550,14400,
2551,6666,Entry level
2552,3840,
2553,14791,Mid-Senior level
2554,8333,
2555,14600,Mid-Senior level
2556,11562,Mid-Senior level
2557,12795,Mid-Senior level
2558,15079,Mid-Senior level
2559,5280,
2560,13420,Mid-Senior level
2561,3840,Mid-Senior level
2562,15719,Mid-Senior level
2563,8960,Mid-Senior level
2564,13541,Director
2565,6166,Entry level
2566,3360,
2567,4160,Associate
2568,11,Mid-Senior level
2569,7250,Associate
2570,3958,Entry level
2571,5000,Entry level
2572,15416,Director
2573,5833,Mid-Senior level
2574,5625,
2575,12500,Mid-Senior level
2576,8333,Director
2577,3520,Entry level
2578,4375,
2579,7500,
2580,10691,Mid-Senior level
2581,11041,
2582,15208,Director
2583,17708,Associate
2584,6666,Mid-Senior level
2585,9958,Mid-Senior level
2586,7083,Mid-Senior level
2587,3680,
2588,3840,Entry level
2589,3583,Mid-Senior level
2590,13125,
2591,4320,Mid-Senior level
2592,4000,
2593,9166,Director
2594,6041,Director
2595,7520,Mid-Senior level
2596,5208,Associate
2597,7520,
2598,3040,Entry level
2599,14151,Director
2600,6666,Entry level
2601,4375,
2602,4791,Entry level
2603,2400,
2604,3840,Entry level
2605,19166,
2606,9416,Mid-Senior level
2607,3,Mid-Senior level
2608,11750,Mid-Senior level
2609,8320,Mid-Senior level
2610,6880,
2611,3680,Associate
2612,8125,Mid-Senior level
2613,16666,
2614,4640,
2615,7500,Mid-Senior level
2616,11035,Mid-Senior level
2617,12000,Director
2618,2720,Associate
2619,10720,Mid-Senior level
2620,14400,Associate
2621,16666,Executive
2622,14583,Mid-Senior level
2623,87500,Mid-Senior level
2624,4583,
2625,11041,Mid-Senior level
2626,11541,Mid-Senior level
2627,15750,Executive
2628,5208,Associate
2629,10625,Mid-Senior level
2630,6666,Associate
2631,10625,Director
2632,6666,Associate
2633,12500,Mid-Senior level
2634,10000,Mid-Senior level
2635,6634,Mid-Senior level
2636,8750,Director
2637,7291,Entry level
2638,6041,Mid-Senior level
2639,15416,Director
2640,8666,Mid-Senior level
2641,4375,
2642,10000,Director
2643,12916,Mid-Senior level
2644,6166,
2645,4166,Entry level
2646,3040,Entry level
2647,14151,Director
2648,12000,Mid-Senior level
2649,9451,Director
2650,8750,Mid-Senior level
2651,9375,Mid-Senior level
2652,35416,Mid-Senior level
2653,13958,
2654,3360,Mid-Senior level
2655,5625,Entry level
2656,10000,
2657,8641,Mid-Senior level
2658,9440,Mid-Senior level
2659,6,
2660,8333,
2661,4800,
2662,4166,
2663,6250,Associate
2664,6375,Associate
2665,3360,
2666,11458,
2667,3040,Entry level
2668,9375,Mid-Senior level
2669,3520,Mid-Senior level
2670,4800,Entry level
2671,3520,Mid-Senior level
2672,6000,Associate
2673,8800,Associate
2674,3146,Associate
2675,6458,Mid-Senior level
2676,5825,Entry level
2677,12000,Mid-Senior level
2678,9600,Mid-Senior level
2679,8000,
2680,3200,
2681,7708,Associate
2682,15200,Mid-Senior level
2683,4000,Associate
2684,3520,
2685,12083,Mid-Senior level
2686,4320,
2687,3040,Associate
2688,8079,Mid-Senior level
2689,6083,
2690,3200,
2691,4960,Entry level
