,med_salary,formatted_work_type
1384,1920,Part-time
1385,5600,Full-time
1386,8333,Full-time
1387,2560,Full-time
1388,6375,Full-time
1389,7360,Contract
1390,8933,Full-time
1391,7200,Full-time
1392,7200,Full-time
1393,18333,Full-time
1394,4480,Full-time
1395,3520,Full-time
1396,3750,Full-time
1397,7525,Full-time
1398,10240,Contract
1399,8750,Full-time
1400,6720,Contract
1401,7916,Full-time
1402,11270,Full-time
1403,7083,Full-time
1404,3200,Full-time
1405,18666,Full-time
1406,12708,Full-time
1407,4000,Full-time
1408,9166,Full-time
1409,8420,Full-time
1410,3400,Full-time
1411,11120,Full-time
1412,16745,Full-time
1413,13675,Full-time
1414,2560,Full-time
1415,9791,Full-time
1416,9920,Contract
1417,7273,Full-time
1418,7200,Contract
1419,4791,Full-time
1420,11941,Full-time
1421,6041,Full-time
1422,13750,Full-time
1423,6400,Contract
1424,10416,Full-time
1425,14166,Full-time
1426,4960,Contract
1427,18541,Full-time
1428,6080,Other
1429,5833,Full-time
1430,6666,Full-time
1431,5416,Full-time
1432,4960,Full-time
1433,3360,Full-time
1434,3250,Full-time
1435,5833,Full-time
1436,3666,Full-time
1437,3840,Full-time
1438,3200,Contract
1439,10833,Full-time
1440,8333,Full-time
1441,4800,Contract
1442,5000,Full-time
1443,6666,Full-time
1444,7680,Contract
1445,5083,Full-time
1446,4480,Full-time
1447,6080,Contract
1448,8000,Contract
1449,4166,Full-time
1450,4791,Full-time
1451,4791,Full-time
1452,4791,Full-time
1453,4791,Full-time
1454,4250,Full-time
1455,4791,Full-time
1456,6666,Full-time
1457,11040,Contract
1458,9791,Full-time
1459,2880,Full-time
1460,13120,Contract
1461,12708,Full-time
1462,7500,Full-time
1463,16287,Full-time
1464,8958,Full-time
1465,10208,Full-time
1466,5833,Full-time
1467,7200,Full-time
1468,7200,Full-time
1469,5833,Full-time
1470,7520,Contract
1471,9191,Full-time
1472,4166,Full-time
1473,5416,Full-time
1474,5267,Full-time
1475,12045,Full-time
1476,6080,Contract
1477,9375,Full-time
1478,3200,Full-time
1479,14841,Full-time
1480,6725,Full-time
1481,7520,Contract
1482,4640,Full-time
1483,7273,Full-time
1484,9166,Full-time
1485,7520,Contract
1486,8320,Contract
1487,4791,Full-time
1488,10291,Full-time
1489,6250,Full-time
1490,8000,Contract
1491,3360,Full-time
1492,12500,Full-time
1493,8541,Full-time
1494,12083,Full-time
1495,22574,Full-time
1496,10416,Full-time
1497,10416,Full-time
1498,8333,Full-time
1499,9791,Full-time
1500,3680,Full-time
1501,13958,Full-time
1502,10000,Full-time
1503,14212,Full-time
1504,5440,Contract
1505,3360,Contract
1506,3040,Full-time
1507,5000,Full-time
1508,5120,Contract
1509,4800,Contract
1510,7916,Full-time
1511,6458,Full-time
1512,6083,Full-time
1513,9583,Full-time
1514,2880,Full-time
1515,4960,Contract
1516,4791,Full-time
1517,6875,Full-time
1518,4791,Full-time
1519,4791,Full-time
1520,5608,Full-time
1521,7500,Full-time
1522,2080,Full-time
1523,10416,Full-time
1524,2880,Full-time
1525,4320,Full-time
1526,3458,Full-time
1527,15208,Full-time
1528,6375,Full-time
1529,16287,Full-time
1530,12800,Temporary
1531,3040,Full-time
1532,7241,Full-time
1533,7,Full-time
1534,2720,Full-time
1535,7200,Contract
1536,3680,Full-time
1537,9600,Contract
1538,5920,Full-time
1539,6725,Full-time
1540,7916,Full-time
1541,11012,Full-time
1542,19520,Full-time
1543,8945,Full-time
1544,8420,Full-time
1545,2720,Full-time
1546,8854,Full-time
1547,9375,Full-time
1548,6500,Full-time
1549,6880,Contract
1550,9583,Full-time
1551,9166,Full-time
1552,4583,Full-time
1553,21875,Full-time
1554,3040,Contract
1555,7083,Full-time
1556,9166,Full-time
1557,8125,Full-time
1558,13125,Full-time
1559,4583,Full-time
1560,3360,Full-time
1561,3200,Full-time
1562,11200,Full-time
1563,13125,Full-time
1564,3200,Full-time
1565,4640,Full-time
1566,6240,Contract
1567,12916,Full-time
1568,4800,Contract
1569,11840,Contract
1570,3200,Contract
1571,12500,Full-time
1572,5280,Contract
1573,6250,Full-time
1574,4791,Full-time
1575,4791,Full-time
1576,4791,Full-time
1577,4791,Full-time
1578,4791,Full-time
1579,4791,Full-time
1580,10080,Contract
1581,4375,Full-time
1582,6558,Full-time
1583,6166,Part-time
1584,4480,Full-time
1585,3040,Full-time
1586,18541,Full-time
1587,14583,Full-time
1588,5500,Full-time
1589,9166,Full-time
1590,9583,Full-time
1591,7200,Full-time
1592,7200,Full-time
1593,3520,Full-time
1594,3750,Full-time
1595,3680,Contract
1596,11666,Full-time
1597,5000,Full-time
1598,9375,Full-time
1599,3520,Contract
1600,9166,Full-time
1601,19583,Full-time
1602,12708,Full-time
1603,14108,Full-time
1604,6725,Full-time
1605,14108,Full-time
1606,3520,Full-time
1607,7083,Full-time
1608,2560,Part-time
1609,11250,Full-time
1610,4640,Contract
1611,11941,Full-time
1612,11941,Full-time
1613,4583,Contract
1614,4958,Full-time
1615,11666,Full-time
1616,6875,Full-time
1617,4375,Full-time
1618,6666,Full-time
1619,6666,Full-time
1620,8750,Full-time
1621,5916,Full-time
1622,6080,Contract
1623,15520,Contract
1624,7200,Full-time
1625,4000,Full-time
1626,5113,Full-time
1627,8000,Full-time
1628,9500,Full-time
1629,13958,Full-time
1630,8480,Contract
1631,4833,Full-time
1632,8083,Full-time
1633,9583,Full-time
1634,6666,Full-time
1635,7500,Full-time
1636,7520,Full-time
1637,10833,Full-time
1638,3200,Full-time
1639,5440,Contract
1640,11666,Full-time
1641,4320,Contract
1642,2880,Full-time
1643,2720,Part-time
1644,7083,Full-time
1645,4200,Full-time
1646,8441,Full-time
1647,6250,Full-time
1648,2720,Full-time
1649,2720,Full-time
1650,7291,Full-time
1651,4800,Full-time
1652,9162,Full-time
1653,6213,Full-time
1654,6083,Full-time
1655,3958,Full-time
1656,6041,Full-time
1657,11041,Full-time
1658,12500,Full-time
1659,10720,Contract
1660,5120,Full-time
1661,8333,Full-time
1662,4791,Full-time
1663,9120,Contract
1664,9120,Full-time
1665,7291,Full-time
1666,11840,Contract
1667,3680,Contract
1668,13958,Full-time
1669,5600,Full-time
1670,5833,Full-time
1671,5600,Contract
1672,7916,Full-time
1673,10833,Full-time
1674,9760,Contract
1675,6250,Full-time
1676,6880,Full-time
1677,9375,Full-time
1678,12045,Full-time
1679,10,Full-time
1680,4000,Full-time
1681,10416,Full-time
1682,8046,Full-time
1683,4200,Full-time
1684,4675,Full-time
1685,7208,Full-time
1686,6240,Full-time
1687,5120,Full-time
1688,6458,Full-time
1689,6250,Full-time
1690,3520,Full-time
1691,13833,Full-time
1692,15625,Full-time
1693,7360,Contract
1694,6041,Full-time
1695,7500,Full-time
1696,3680,Full-time
1697,6720,Contract
1698,4166,Temporary
1699,6240,Full-time
1700,9120,Contract
1701,20833,Full-time
1702,5208,Full-time
1703,8541,Full-time
1704,15000,Full-time
1705,8541,Full-time
1706,5833,Full-time
1707,9791,Full-time
1708,8333,Part-time
1709,10416,Full-time
1710,8000,Contract
1711,4960,Full-time
1712,3040,Full-time
1713,8320,Contract
1714,6666,Full-time
1715,11666,Full-time
1716,2880,Part-time
1717,6250,Full-time
1718,7916,Full-time
1719,11250,Part-time
1720,6041,Full-time
1721,4480,Full-time
1722,19425,Full-time
1723,11562,Full-time
1724,13612,Full-time
1725,11404,Full-time
1726,6725,Full-time
1727,8160,Contract
1728,7520,Full-time
1729,3360,Full-time
1730,11041,Full-time
1731,10416,Full-time
1732,4960,Contract
1733,3520,Internship
1734,14583,Full-time
1735,12708,Full-time
1736,13750,Full-time
1737,4640,Full-time
1738,10625,Full-time
1739,4640,Full-time
1740,4166,Full-time
1741,15416,Full-time
1742,2880,Full-time
1743,8125,Full-time
1744,5208,Full-time
1745,10000,Full-time
1746,8901,Full-time
1747,6400,Part-time
1748,8250,Full-time
1749,11200,Full-time
1750,13958,Full-time
1751,6008,Full-time
1752,18541,Full-time
1753,5416,Full-time
1754,5000,Full-time
1755,17500,Full-time
1756,5416,Full-time
1757,19791,Full-time
1758,10000,Full-time
1759,9760,Full-time
1760,7040,Full-time
1761,5416,Full-time
1762,3680,Full-time
1763,3770,Full-time
1764,9937,Full-time
1765,9120,Contract
1766,6666,Full-time
1767,6250,Full-time
1768,7500,Full-time
1769,6720,Contract
1770,12291,Full-time
1771,6,Full-time
1772,18750,Full-time
1773,11666,Full-time
1774,3840,Full-time
1775,14166,Full-time
1776,13541,Full-time
1777,8541,Contract
1778,12083,Full-time
1779,3520,Part-time
1780,11458,Full-time
1781,2720,Part-time
1782,5916,Full-time
1783,6916,Full-time
1784,8875,Full-time
1785,5920,Contract
1786,10000,Full-time
1787,8750,Full-time
1788,3520,Full-time
1789,10400,Contract
1790,2240,Full-time
1791,7291,Full-time
1792,6500,Full-time
1793,4800,Full-time
1794,5291,Full-time
1795,6625,Full-time
1796,7595,Full-time
1797,3680,Full-time
1798,5875,Full-time
1799,9120,Part-time
1800,6043,Full-time
1801,8320,Full-time
1802,7520,Full-time
1803,2720,Full-time
1804,3040,Part-time
1805,2880,Full-time
1806,2880,Part-time
1807,2720,Part-time
1808,3040,Part-time
1809,4000,Full-time
1810,5280,Full-time
1811,5280,Full-time
1812,3680,Full-time
1813,3360,Full-time
1814,5848,Full-time
1815,5600,Full-time
1816,4320,Full-time
1817,13583,Full-time
1818,3418,Part-time
1819,6279,Full-time
1820,2560,Full-time
1821,6228,Full-time
1822,3360,Part-time
1823,5904,Full-time
1824,2560,Full-time
1825,9075,Full-time
1826,8541,Full-time
1827,13666,Full-time
1828,3200,Full-time
1829,30208,Full-time
1830,4,Full-time
1831,3680,Full-time
1832,2240,Part-time
1833,18166,Full-time
1834,3840,Full-time
1835,5416,Full-time
1836,3750,Full-time
1837,6560,Full-time
1838,11680,Contract
1839,13583,Full-time
1840,3360,Full-time
1841,3840,Full-time
1842,3360,Full-time
1843,3360,Part-time
1844,2400,Full-time
1845,2880,Part-time
1846,2880,Full-time
1847,2560,Part-time
1848,6666,Full-time
1849,3200,Full-time
1850,10416,Full-time
1851,5280,Part-time
1852,5416,Full-time
1853,17691,Full-time
1854,10400,Contract
1855,3360,Full-time
1856,15833,Full-time
1857,13750,Full-time
1858,3680,Full-time
1859,2560,Full-time
1860,5600,Full-time
1861,18708,Full-time
1862,18708,Full-time
1863,5713,Full-time
1864,10880,Contract
1865,2080,Full-time
1866,2880,Full-time
1867,14520,Full-time
1868,4504,Full-time
1869,5280,Part-time
1870,5280,Full-time
1871,10529,Full-time
1872,2240,Part-time
1873,10208,Full-time
1874,11750,Other
1875,12552,Full-time
1876,10612,Full-time
1877,2240,Part-time
1878,2240,Part-time
1879,17600,Contract
1880,13750,Full-time
1881,6958,Full-time
1882,6666,Full-time
1883,15542,Full-time
1884,3726,Full-time
1885,1600,Full-time
1886,4160,Full-time
1887,10416,Full-time
1888,5637,Full-time
1889,11250,Full-time
1890,4000,Full-time
1891,18708,Full-time
1892,7882,Full-time
1893,13583,Full-time
1894,13583,Full-time
1895,6212,Full-time
1896,7083,Full-time
1897,5833,Full-time
1898,6458,Full-time
1899,3520,Full-time
1900,5208,Full-time
1901,13958,Full-time
1902,9075,Full-time
1903,4320,Full-time
1904,2720,Full-time
1905,2560,Full-time
1906,2560,Part-time
1907,2400,Part-time
1908,2240,Part-time
1909,5550,Full-time
1910,7820,Full-time
1911,2240,Part-time
1912,10875,Full-time
1913,5760,Full-time
1914,18425,Full-time
1915,2240,Part-time
1916,6560,Contract
1917,4640,Full-time
1918,7666,Full-time
1919,7291,Full-time
1920,10400,Contract
1921,2880,Full-time
1922,13750,Full-time
1923,6,Contract
1924,5000,Full-time
1925,3200,Full-time
1926,3200,Full-time
1927,2240,Part-time
1928,3200,Full-time
1929,7520,Contract
1930,11700,Contract
1931,10416,Full-time
1932,11095,Full-time
1933,8333,Full-time
1934,5603,Full-time
1935,3726,Full-time
1936,6458,Full-time
1937,8000,Full-time
1938,5120,Full-time
1939,11875,Full-time
1940,3813,Full-time
1941,7291,Full-time
1942,10720,Contract
1943,3360,Contract
1944,5166,Full-time
1945,6666,Full-time
1946,6458,Full-time
1947,3750,Full-time
1948,17888,Full-time
1949,4640,Full-time
1950,5280,Full-time
1951,13583,Full-time
1952,2880,Full-time
1953,4320,Full-time
1954,10612,Full-time
1955,3680,Full-time
1956,2400,Part-time
1957,3040,Full-time
1958,6250,Full-time
1959,2400,Part-time
1960,3360,Internship
1961,3360,Part-time
1962,10400,Part-time
1963,8333,Full-time
1964,7695,Full-time
1965,4850,Full-time
1966,5280,Full-time
1967,10720,Full-time
1968,10416,Full-time
1969,14080,Contract
1970,7200,Contract
1971,2240,Part-time
1972,5013,Other
1973,10023,Other
1974,4000,Full-time
1975,3200,Full-time
1976,2880,Full-time
1977,2240,Part-time
1978,11809,Full-time
1979,3726,Full-time
1980,3040,Full-time
1981,3813,Full-time
1982,3813,Full-time
1983,4625,Full-time
1984,3813,Full-time
1985,7916,Full-time
1986,8640,Contract
1987,15125,Full-time
1988,5833,Full-time
1989,4375,Full-time
1990,7500,Contract
1991,6250,Full-time
1992,2080,Full-time
1993,2080,Full-time
1994,2080,Full-time
1995,2080,Full-time
1996,2080,Full-time
1997,7200,Part-time
1998,8750,Full-time
1999,6666,Full-time
2000,3040,Full-time
2001,13583,Full-time
2002,6541,Full-time
2003,9458,Part-time
2004,5440,Full-time
2005,2400,Part-time
2006,2720,Part-time
2007,2560,Part-time
2008,2880,Part-time
2009,2400,Full-time
2010,6250,Full-time
2011,10570,Full-time
2012,12640,Contract
2013,12358,Full-time
2014,4504,Full-time
2015,10529,Full-time
2016,12358,Full-time
2017,2240,Part-time
2018,4583,Full-time
2019,8375,Part-time
2020,5250,Full-time
2021,4583,Full-time
2022,9583,Full-time
2023,6880,Full-time
2024,7500,Full-time
2025,7840,Contract
2026,2880,Part-time
2027,9106,Other
2028,5120,Contract
2029,4160,Full-time
2030,3200,Full-time
2031,3200,Full-time
2032,24425,Full-time
2033,2240,Part-time
2034,2720,Full-time
2035,13096,Full-time
2036,3520,Part-time
2037,9358,Full-time
2038,2880,Part-time
2039,6212,Full-time
2040,5833,Full-time
2041,5958,Full-time
2042,9375,Full-time
2043,3360,Full-time
2044,3040,Full-time
2045,3520,Temporary
2046,3813,Full-time
2047,15125,Full-time
2048,11666,Full-time
2049,10139,Full-time
2050,3333,Full-time
2051,2080,Full-time
2052,2080,Full-time
2053,2080,Full-time
2054,8640,Contract
2055,2080,Full-time
2056,2080,Full-time
2057,30208,Full-time
2058,3200,Contract
2059,11041,Full-time
2060,4125,Full-time
2061,16041,Full-time
2062,11250,Full-time
2063,9791,Contract
2064,4125,Full-time
2065,4125,Full-time
2066,4125,Full-time
2067,4125,Full-time
2068,4125,Full-time
2069,4125,Full-time
2070,4125,Full-time
2071,2880,Full-time
2072,5120,Full-time
2073,5625,Full-time
2074,8333,Full-time
2075,14520,Full-time
2076,7666,Full-time
2077,2720,Full-time
2078,3200,Part-time
2079,2400,Full-time
2080,2400,Part-time
2081,2400,Full-time
2082,2400,Part-time
2083,5280,Full-time
2084,9933,Full-time
2085,12358,Full-time
2086,3040,Full-time
2087,3360,Full-time
2088,9075,Full-time
2089,4480,Full-time
2090,6880,Full-time
2091,13750,Full-time
2092,2240,Part-time
2093,4160,Full-time
2094,9133,Full-time
2095,13508,Other
2096,6541,Full-time
2097,13841,Full-time
2098,3200,Full-time
2099,2240,Part-time
2100,3680,Full-time
2101,3520,Part-time
2102,10833,Part-time
2103,30208,Full-time
2104,2880,Part-time
2105,3040,Full-time
2106,7000,Full-time
2107,9375,Full-time
2108,8320,Contract
2109,13333,Full-time
2110,8333,Full-time
2111,3875,Full-time
2112,12525,Full-time
2113,2,Contract
2114,2080,Full-time
2115,2080,Full-time
2116,2080,Full-time
2117,2080,Full-time
2118,2080,Full-time
2119,2080,Full-time
2120,2080,Full-time
2121,7000,Contract
2122,30208,Full-time
2123,8333,Full-time
2124,14583,Full-time
2125,4125,Full-time
2126,4125,Full-time
2127,4125,Full-time
2128,14375,Full-time
2129,14708,Full-time
2130,4125,Full-time
2131,4125,Full-time
2132,4125,Full-time
2133,4125,Full-time
2134,4125,Full-time
2135,6666,Full-time
2136,4480,Full-time
2137,6791,Full-time
2138,10416,Full-time
2139,4125,Full-time
2140,8333,Full-time
2141,4166,Full-time
2142,7708,Full-time
2143,2240,Part-time
2144,8333,Full-time
2145,4800,Contract
2146,12632,Full-time
2147,30208,Full-time
2148,13541,Full-time
2149,2240,Part-time
2150,5920,Part-time
2151,14000,Full-time
2152,2240,Part-time
2153,30208,Full-time
2154,3360,Full-time
2155,7500,Full-time
2156,3360,Full-time
2157,30208,Full-time
2158,22041,Full-time
2159,3813,Full-time
2160,4166,Full-time
2161,12916,Full-time
2162,6041,Full-time
2163,8458,Full-time
2164,8000,Full-time
2165,3958,Full-time
2166,7291,Full-time
2167,2080,Full-time
2168,2080,Full-time
2169,2080,Full-time
2170,4166,Full-time
2171,14321,Full-time
2172,8000,Contract
2173,14708,Full-time
2174,4125,Full-time
2175,4160,Full-time
2176,4533,Full-time
2177,4125,Full-time
2178,4125,Full-time
2179,6166,Full-time
2180,2240,Part-time
2181,7916,Full-time
2182,3520,Part-time
2183,6666,Full-time
2184,6720,Contract
2185,30208,Full-time
2186,5833,Full-time
2187,5416,Full-time
2188,3040,Full-time
2189,14583,Full-time
2190,15125,Full-time
2191,5625,Full-time
2192,7083,Full-time
2193,10625,Full-time
2194,2080,Full-time
2195,2080,Full-time
2196,5833,Full-time
2197,5600,Contract
2198,11200,Contract
2199,7500,Full-time
2200,4125,Full-time
2201,4125,Full-time
2202,4166,Full-time
2203,4125,Full-time
2204,4125,Full-time
2205,4125,Full-time
2206,4125,Full-time
2207,5666,Full-time
2208,4125,Full-time
2209,6166,Full-time
2210,9280,Full-time
2211,3726,Full-time
2212,3040,Contract
2213,6080,Full-time
2214,8333,Full-time
2215,15125,Full-time
2216,30208,Full-time
2217,5637,Full-time
2218,13333,Full-time
2219,2880,Full-time
2220,3208,Full-time
2221,2080,Full-time
2222,2080,Full-time
2223,2080,Full-time
2224,2080,Full-time
2225,2080,Full-time
2226,2080,Full-time
2227,2080,Full-time
2228,13333,Full-time
2229,7000,Contract
2230,7500,Full-time
2231,9791,Contract
2232,4125,Full-time
2233,4125,Full-time
2234,4125,Full-time
2235,4125,Full-time
2236,5666,Full-time
2237,4125,Full-time
2238,8333,Full-time
2239,12000,Contract
2240,4125,Full-time
2241,3958,Full-time
2242,3000,Full-time
2243,2880,Part-time
2244,11666,Full-time
2245,12500,Full-time
2246,2080,Full-time
2247,3958,Full-time
2248,3750,Full-time
2249,4125,Full-time
2250,8333,Full-time
2251,16666,Full-time
2252,16041,Full-time
2253,16041,Full-time
2254,15875,Full-time
2255,4125,Full-time
2256,4125,Full-time
2257,6720,Contract
2258,2080,Full-time
2259,2080,Full-time
2260,2080,Full-time
2261,2080,Full-time
2262,4800,Full-time
2263,2080,Full-time
2264,2080,Full-time
2265,2080,Full-time
2266,2080,Full-time
2267,3200,Contract
2268,7000,Contract
2269,4320,Contract
2270,4125,Full-time
2271,4125,Full-time
2272,4125,Full-time
2273,4125,Full-time
2274,11250,Full-time
2275,4125,Full-time
2276,4125,Full-time
2277,5000,Full-time
2278,15875,Full-time
2279,9791,Contract
2280,11250,Full-time
2281,16041,Full-time
2282,4125,Full-time
2283,4125,Full-time
2284,9375,Full-time
2285,3750,Full-time
2286,10000,Full-time
2287,14708,Full-time
2288,14375,Full-time
2289,4125,Full-time
2290,4125,Full-time
2291,9791,Contract
2292,11250,Full-time
2293,4125,Full-time
2294,9120,Contract
2295,16041,Full-time
2296,15875,Full-time
2297,4125,Full-time
2298,4125,Full-time
2299,4125,Full-time
2300,7000,Contract
2301,4125,Full-time
2302,4125,Full-time
2303,4125,Full-time
2304,13233,Full-time
2305,11025,Full-time
2306,11562,Full-time
2307,12375,Full-time
2308,16783,Full-time
2309,4791,Full-time
2310,3520,Full-time
2311,1920,Full-time
2312,3840,Full-time
2313,8000,Contract
2314,7708,Full-time
2315,11435,Full-time
2316,16500,Full-time
2317,6666,Full-time
2318,9179,Full-time
2319,6725,Full-time
2320,2560,Part-time
2321,2880,Full-time
2322,9991,Full-time
2323,12500,Full-time
2324,4291,Full-time
2325,6666,Full-time
2326,10708,Full-time
2327,5853,Full-time
2328,5440,Part-time
2329,4160,Full-time
2330,14634,Full-time
2331,3916,Full-time
2332,4000,Full-time
2333,14520,Full-time
2334,13833,Full-time
2335,8333,Full-time
2336,11020,Full-time
2337,13920,Contract
2338,10833,Full-time
2339,9083,Full-time
2340,11770,Full-time
2341,4000,Full-time
2342,20958,Full-time
2343,6250,Full-time
2344,11666,Full-time
2345,9920,Contract
2346,6041,Full-time
2347,3520,Full-time
2348,3200,Full-time
2349,12160,Full-time
2350,2880,Contract
2351,3520,Full-time
2352,2654,Full-time
2353,6875,Full-time
2354,10000,Full-time
2355,5416,Full-time
2356,14108,Full-time
2357,24479,Full-time
2358,6725,Full-time
2359,11025,Full-time
2360,16783,Full-time
2361,14600,Full-time
2362,14512,Full-time
2363,7360,Full-time
2364,7520,Full-time
2365,5686,Full-time
2366,2560,Full-time
2367,4583,Full-time
2368,3520,Full-time
2369,5120,Contract
2370,5833,Full-time
2371,8750,Full-time
2372,5833,Full-time
2373,11875,Full-time
2374,11770,Full-time
2375,3840,Full-time
2376,9120,Full-time
2377,4166,Full-time
2378,9120,Full-time
2379,2720,Contract
2380,13750,Full-time
2381,2720,Contract
2382,3333,Temporary
2383,12377,Full-time
2384,9791,Full-time
2385,2560,Part-time
2386,8333,Full-time
2387,5600,Full-time
2388,11508,Full-time
2389,11650,Full-time
2390,6041,Full-time
2391,3333,Full-time
2392,5800,Full-time
2393,6041,Full-time
2394,4800,Full-time
2395,4320,Contract
2396,3000,Contract
2397,17708,Full-time
2398,11625,Full-time
2399,8125,Full-time
2400,10833,Full-time
2401,2240,Full-time
2402,18750,Full-time
2403,4583,Full-time
2404,8333,Full-time
2405,11750,Full-time
2406,3200,Full-time
2407,19129,Full-time
2408,11200,Contract
2409,10208,Full-time
2410,12916,Full-time
2411,14720,Contract
2412,7520,Full-time
2413,4000,Full-time
2414,14166,Full-time
2415,4166,Other
2416,8320,Full-time
2417,7020,Full-time
2418,16320,Contract
2419,15079,Full-time
2420,6445,Full-time
2421,12375,Full-time
2422,5920,Full-time
2423,2720,Full-time
2424,10400,Contract
2425,4480,Full-time
2426,9791,Full-time
2427,11,Full-time
2428,4000,Temporary
2429,7708,Full-time
2430,2560,Full-time
2431,4375,Full-time
2432,4320,Full-time
2433,4,Full-time
2434,16666,Full-time
2435,14583,Full-time
2436,4480,Full-time
2437,3360,Full-time
2438,6666,Full-time
2439,13600,Full-time
2440,4296,Full-time
2441,3520,Part-time
2442,7474,Full-time
2443,5833,Full-time
2444,5600,Part-time
2445,13333,Full-time
2446,3360,Full-time
2447,3840,Full-time
2448,4583,Full-time
2449,12500,Full-time
2450,3840,Full-time
2451,9791,Full-time
2452,6916,Full-time
2453,31250,Full-time
2454,6277,Full-time
2455,10208,Full-time
2456,6041,Full-time
2457,13620,Full-time
2458,15983,Full-time
2459,13195,Full-time
2460,9179,Full-time
2461,3040,Part-time
2462,2720,Full-time
2463,3958,Full-time
2464,8333,Contract
2465,4160,Part-time
2466,6875,Full-time
2467,4000,Temporary
2468,11458,Full-time
2469,4528,Full-time
2470,5685,Full-time
2471,23958,Full-time
2472,6250,Full-time
2473,4750,Full-time
2474,2400,Full-time
2475,3833,Full-time
2476,6666,Full-time
2477,10416,Full-time
2478,3840,Full-time
2479,3840,Contract
2480,3360,Contract
2481,3360,Full-time
2482,8270,Full-time
2483,10786,Full-time
2484,11250,Full-time
2485,7916,Full-time
2486,10691,Full-time
2487,3200,Internship
2488,8458,Full-time
2489,9375,Full-time
2490,12500,Full-time
2491,12083,Full-time
2492,4000,Full-time
2493,8000,Full-time
2494,12,Full-time
2495,8333,Full-time
2496,4800,Contract
2497,9166,Full-time
2498,4000,Contract
2499,7520,Contract
2500,3200,Full-time
2501,8750,Contract
2502,3040,Part-time
2503,3040,Full-time
2504,6250,Full-time
2505,6880,Contract
2506,15366,Full-time
2507,12479,Full-time
2508,2080,Full-time
2509,3520,Full-time
2510,8041,Full-time
2511,6333,Full-time
2512,3680,Contract
2513,12083,Full-time
2514,12000,Contract
2515,4166,Full-time
2516,3200,Full-time
2517,11040,Part-time
2518,8125,Full-time
2519,13833,Full-time
2520,4333,Full-time
2521,5420,Full-time
2522,2560,Contract
2523,12800,Contract
2524,3680,Full-time
2525,4320,Full-time
2526,8000,Contract
2527,2880,Full-time
2528,4960,Full-time
2529,12800,Contract
2530,3520,Contract
2531,3360,Part-time
2532,3360,Full-time
2533,2560,Part-time
2534,4480,Contract
2535,14583,Contract
2536,10750,Full-time
2537,12377,Full-time
2538,15000,Full-time
2539,8,Full-time
2540,3200,Full-time
2541,6250,Full-time
2542,3200,Full-time
2543,3200,Contract
2544,12242,Full-time
2545,2720,Full-time
2546,7083,Full-time
2547,10125,Full-time
2548,10416,Full-time
2549,7083,Full-time
2550,14400,Contract
2551,6666,Full-time
2552,3840,Part-time
2553,14791,Full-time
2554,8333,Full-time
2555,14600,Full-time
2556,11562,Full-time
2557,12795,Full-time
2558,15079,Full-time
2559,5280,Full-time
2560,13420,Full-time
2561,3840,Full-time
2562,15719,Full-time
2563,8960,Full-time
2564,13541,Full-time
2565,6166,Full-time
2566,3360,Full-time
2567,4160,Contract
2568,11,Full-time
2569,7250,Full-time
2570,3958,Full-time
2571,5000,Full-time
2572,15416,Full-time
2573,5833,Full-time
2574,5625,Full-time
2575,12500,Full-time
2576,8333,Full-time
2577,3520,Full-time
2578,4375,Contract
2579,7500,Full-time
2580,10691,Full-time
2581,11041,Full-time
2582,15208,Full-time
2583,17708,Full-time
2584,6666,Full-time
2585,9958,Full-time
2586,7083,Full-time
2587,3680,Full-time
2588,3840,Full-time
2589,3583,Full-time
2590,13125,Full-time
2591,4320,Contract
2592,4000,Part-time
2593,9166,Full-time
2594,6041,Full-time
2595,7520,Contract
2596,5208,Full-time
2597,7520,Full-time
2598,3040,Full-time
2599,14151,Full-time
2600,6666,Full-time
2601,4375,Full-time
2602,4791,Full-time
2603,2400,Full-time
2604,3840,Contract
2605,19166,Full-time
2606,9416,Full-time
2607,3,Contract
2608,11750,Full-time
2609,8320,Contract
2610,6880,Contract
2611,3680,Contract
2612,8125,Full-time
2613,16666,Full-time
2614,4640,Full-time
2615,7500,Full-time
2616,11035,Full-time
2617,12000,Contract
2618,2720,Contract
2619,10720,Full-time
2620,14400,Contract
2621,16666,Full-time
2622,14583,Full-time
2623,87500,Full-time
2624,4583,Full-time
2625,11041,Full-time
2626,11541,Full-time
2627,15750,Full-time
2628,5208,Full-time
2629,10625,Full-time
2630,6666,Full-time
2631,10625,Full-time
2632,6666,Full-time
2633,12500,Full-time
2634,10000,Full-time
2635,6634,Full-time
2636,8750,Full-time
2637,7291,Full-time
2638,6041,Full-time
2639,15416,Full-time
2640,8666,Full-time
2641,4375,Full-time
2642,10000,Full-time
2643,12916,Full-time
2644,6166,Full-time
2645,4166,Contract
2646,3040,Full-time
2647,14151,Full-time
2648,12000,Contract
2649,9451,Full-time
2650,8750,Full-time
2651,9375,Full-time
2652,35416,Full-time
2653,13958,Full-time
2654,3360,Contract
2655,5625,Full-time
2656,10000,Full-time
2657,8641,Contract
2658,9440,Contract
2659,6,Full-time
2660,8333,Full-time
2661,4800,Full-time
2662,4166,Full-time
2663,6250,Full-time
2664,6375,Full-time
2665,3360,Full-time
2666,11458,Full-time
2667,3040,Full-time
2668,9375,Full-time
2669,3520,Contract
2670,4800,Contract
2671,3520,Contract
