,med_salary,formatted_work_type
325,10000,Contract
326,6666,Full-time
327,6080,Full-time
328,4800,Full-time
329,13120,Contract
330,2720,Contract
331,9760,Contract
332,6720,Contract
333,12916,Full-time
334,6250,Full-time
335,5000,Full-time
336,6041,Full-time
337,4960,Contract
338,13333,Full-time
339,12000,Contract
340,3360,Full-time
341,4640,Full-time
342,3360,Full-time
343,4960,Contract
344,3840,Full-time
345,7504,Full-time
346,8320,Contract
347,10400,Full-time
348,5000,Full-time
349,8958,Full-time
350,12500,Full-time
351,12500,Full-time
352,5120,Full-time
353,5208,Full-time
354,5416,Full-time
355,7200,Contract
356,5187,Full-time
357,8624,Full-time
358,6400,Contract
359,5416,Full-time
360,9791,Full-time
361,10833,Full-time
362,15040,Contract
363,9791,Full-time
364,4375,Full-time
365,5416,Full-time
366,9120,Contract
367,11520,Contract
368,11138,Full-time
369,5208,Full-time
370,4320,Full-time
371,8333,Full-time
372,16666,Contract
373,9375,Full-time
374,5000,Full-time
375,15833,Full-time
376,4960,Contract
377,8800,Contract
378,16875,Full-time
379,8640,Contract
380,7083,Full-time
381,4640,Contract
382,6250,Full-time
383,6270,Full-time
384,3958,Full-time
385,8,Full-time
386,16250,Full-time
387,7040,Contract
388,11200,Full-time
389,6666,Full-time
390,2240,Part-time
391,2720,Contract
392,8160,Contract
393,3958,Temporary
394,2400,Part-time
395,4960,Full-time
396,15479,Full-time
397,4000,Part-time
398,4800,Temporary
399,4458,Full-time
400,5120,Contract
401,6880,Full-time
402,11200,Part-time
403,4666,Full-time
404,3040,Contract
405,8125,Full-time
406,3360,Contract
407,3840,Full-time
408,6875,Full-time
409,15625,Full-time
410,14583,Full-time
411,4791,Full-time
412,10416,Full-time
413,5000,Full-time
414,8750,Full-time
415,7708,Full-time
416,5187,Full-time
417,4583,Full-time
418,24000,Full-time
419,4375,Full-time
420,12800,Contract
421,4320,Contract
422,10625,Full-time
423,7500,Full-time
424,8333,Full-time
425,5280,Contract
426,4583,Full-time
427,10400,Full-time
428,14166,Full-time
429,8750,Full-time
430,13958,Temporary
431,3520,Full-time
432,8333,Full-time
433,6400,Full-time
434,11111,Full-time
435,11200,Contract
436,4000,Part-time
437,7520,Contract
438,11458,Full-time
439,8320,Contract
440,7083,Full-time
441,4000,Full-time
442,3360,Full-time
443,8333,Full-time
444,2880,Full-time
445,6875,Full-time
446,5920,Contract
447,9920,Full-time
448,12291,Full-time
449,6041,Full-time
450,13541,Full-time
451,11200,Contract
452,7083,Full-time
453,3520,Full-time
454,7500,Full-time
455,11041,Full-time
456,9791,Full-time
457,9791,Full-time
458,4160,Full-time
459,9791,Full-time
460,4640,Contract
461,4166,Full-time
462,7708,Full-time
463,7500,Full-time
464,7458,Full-time
465,8333,Full-time
466,6875,Full-time
467,8750,Full-time
468,4291,Full-time
469,6458,Full-time
470,5120,Full-time
471,3541,Full-time
472,3958,Full-time
473,6104,Full-time
474,16875,Full-time
475,5416,Full-time
476,9600,Contract
477,7708,Full-time
478,4461,Full-time
479,10833,Full-time
480,7291,Full-time
481,6541,Full-time
482,5625,Full-time
483,12500,Full-time
484,4160,Contract
485,7500,Full-time
486,3680,Contract
487,10416,Full-time
488,12250,Full-time
489,6666,Full-time
490,12500,Full-time
491,4000,Contract
492,10833,Full-time
493,17600,Contract
494,7041,Full-time
495,4160,Contract
496,2400,Full-time
497,4960,Full-time
498,3200,Full-time
499,5250,Full-time
500,6560,Contract
501,4640,Contract
502,8750,Full-time
503,4320,Full-time
504,15625,Full-time
505,15166,Full-time
506,7061,Full-time
507,9791,Full-time
508,9583,Full-time
509,15625,Full-time
510,11250,Full-time
511,8800,Contract
512,5416,Full-time
513,3680,Full-time
514,9120,Full-time
515,5440,Full-time
516,5500,Full-time
517,8958,Full-time
518,13958,Temporary
519,3360,Full-time
520,5920,Contract
521,5120,Contract
522,5833,Full-time
523,14583,Full-time
524,8800,Part-time
525,5625,Full-time
526,7680,Part-time
527,3840,Full-time
528,3200,Full-time
529,12500,Full-time
530,2,Full-time
531,5500,Full-time
532,2880,Full-time
533,7083,Full-time
534,3200,Internship
535,6317,Full-time
536,8666,Full-time
537,5579,Full-time
538,9623,Full-time
539,11200,Contract
540,10416,Full-time
541,16250,Full-time
542,12500,Full-time
543,5770,Full-time
544,4500,Full-time
545,3680,Full-time
546,4875,Full-time
547,10416,Full-time
548,7083,Full-time
549,7083,Full-time
550,9583,Full-time
551,5543,Full-time
552,5625,Full-time
553,6333,Full-time
554,3958,Full-time
555,16875,Full-time
556,6270,Full-time
557,8750,Full-time
558,6250,Full-time
559,12500,Full-time
560,6791,Full-time
561,18416,Full-time
562,3250,Full-time
563,3200,Full-time
564,8541,Full-time
565,11666,Full-time
566,5833,Full-time
567,4583,Full-time
568,11250,Full-time
569,5416,Full-time
570,13920,Contract
571,7291,Full-time
572,9281,Full-time
573,9166,Full-time
574,13750,Full-time
575,5120,Contract
576,10,Full-time
577,2880,Full-time
578,11059,Full-time
579,8333,Full-time
580,12000,Contract
581,8750,Full-time
582,3520,Full-time
583,5600,Full-time
584,8000,Contract
585,3200,Full-time
586,6966,Full-time
587,5920,Full-time
588,5833,Full-time
589,9791,Full-time
590,8958,Full-time
591,3680,Full-time
592,3,Full-time
593,10720,Contract
594,6933,Full-time
595,3520,Full-time
596,23750,Full-time
597,2880,Full-time
598,5600,Full-time
599,24000,Full-time
600,5600,Full-time
601,13125,Full-time
602,5208,Full-time
603,8333,Full-time
604,13125,Full-time
605,5939,Full-time
606,4583,Full-time
607,5416,Full-time
608,3520,Full-time
609,12500,Full-time
610,13333,Full-time
611,2720,Part-time
612,5600,Full-time
613,23333,Full-time
614,2400,Part-time
615,18541,Full-time
616,10880,Contract
617,9280,Part-time
618,8750,Full-time
619,3200,Part-time
620,2400,Part-time
621,9600,Contract
622,3840,Full-time
623,8541,Full-time
624,8320,Contract
625,7804,Full-time
626,11875,Full-time
627,3750,Full-time
628,10000,Full-time
629,9120,Contract
630,12291,Full-time
631,10416,Full-time
632,4960,Full-time
633,2720,Full-time
634,7916,Full-time
635,10400,Contract
636,4160,Contract
637,10000,Full-time
638,17708,Full-time
639,5833,Full-time
640,8333,Full-time
641,3750,Full-time
642,5920,Contract
643,11,Full-time
644,4000,Contract
645,6666,Full-time
646,11200,Full-time
647,6041,Full-time
648,10000,Contract
649,4375,Full-time
650,5833,Full-time
651,4375,Full-time
652,7500,Full-time
653,5416,Full-time
654,6400,Part-time
655,10416,Full-time
656,5440,Contract
657,3040,Full-time
658,3680,Full-time
659,10416,Full-time
660,16666,Contract
661,4480,Full-time
662,5208,Full-time
663,11666,Full-time
664,7500,Full-time
665,10560,Contract
666,2400,Full-time
667,15625,Full-time
668,9600,Contract
669,5250,Full-time
670,3200,Temporary
671,5416,Full-time
672,14583,Contract
673,3840,Contract
674,5000,Full-time
675,7842,Full-time
676,8333,Full-time
677,5416,Full-time
678,10833,Full-time
679,9791,Full-time
680,11666,Full-time
681,3958,Full-time
682,10416,Full-time
683,3200,Full-time
684,4960,Full-time
685,8120,Contract
686,16666,Full-time
687,3680,Contract
688,7916,Full-time
689,5000,Full-time
690,7500,Full-time
691,10625,Full-time
692,11333,Full-time
693,4960,Contract
694,7083,Full-time
695,10080,Contract
696,6250,Full-time
697,6250,Full-time
698,4960,Full-time
699,7083,Full-time
700,5416,Full-time
701,2240,Full-time
702,8333,Full-time
703,3360,Contract
704,12500,Full-time
705,5175,Full-time
706,13541,Full-time
707,3200,Full-time
708,4166,Full-time
709,8333,Full-time
710,4320,Contract
711,5000,Full-time
712,12083,Contract
713,12500,Full-time
714,9458,Full-time
715,17600,Contract
716,6375,Full-time
717,4480,Contract
718,11200,Contract
719,3,Full-time
720,10416,Full-time
721,4458,Full-time
722,7500,Full-time
723,4160,Full-time
724,3840,Contract
725,8640,Contract
726,3520,Contract
727,12175,Full-time
728,6270,Full-time
729,7200,Contract
730,4583,Full-time
731,6104,Full-time
732,7291,Full-time
733,16875,Full-time
734,5500,Full-time
735,4000,Full-time
736,1,Part-time
737,3640,Full-time
738,10720,Contract
739,3360,Contract
740,5000,Full-time
741,4000,Full-time
742,5416,Full-time
743,6400,Contract
744,5920,Full-time
745,3680,Contract
746,10000,Full-time
747,5416,Full-time
748,4166,Full-time
749,21166,Full-time
750,13120,Contract
751,5208,Full-time
752,18750,Full-time
753,6560,Contract
754,5416,Full-time
755,3360,Contract
756,11007,Full-time
757,10080,Contract
758,7500,Full-time
759,5120,Contract
760,14583,Full-time
761,14583,Full-time
762,2880,Full-time
763,4583,Full-time
764,2560,Full-time
765,9920,Full-time
766,7625,Contract
767,10400,Contract
768,6250,Full-time
769,7083,Full-time
770,4583,Full-time
771,5187,Full-time
772,12916,Full-time
773,3040,Part-time
774,8750,Full-time
775,4480,Contract
776,4000,Full-time
777,4643,Full-time
778,9120,Contract
779,7520,Contract
780,6020,Full-time
781,9920,Contract
782,1000,Full-time
783,13750,Full-time
784,1000,Full-time
785,13958,Temporary
786,4320,Full-time
787,9166,Full-time
